NC_029256.1	19058	19141	1	1	1	10	0	67
NC_029256.1	27293	27369	1	1	1	332	0	68
NC_029256.1	27642	28089	1	1	1	431	0	66
NC_029256.1	28294	28364	1	1	1	517	1	73
NC_029256.1	64780	64901	2	2	1	4	0	45
NC_029256.1	134616	134697	1	1	1	14	0	45
NC_029256.1	134825	134911	1	1	1	5	0	7
NC_029256.1	143432	143562	1	1	1	32	0	39
NC_029256.1	148314	149449	1	1	1	39	0	47
NC_029256.1	149549	149633	1	1	1	44	0	51
NC_029256.1	149743	149855	1	1	1	91	0	71
NC_029256.1	149928	150055	1	1	1	78	0	6
NC_029256.1	150062	150151	1	1	1	81	0	7
NC_029256.1	164108	168627	1	1	1	7	0	58
NC_029256.1	169657	169750	2	2	1	90	0	48
NC_029256.1	169910	170090	2	2	1	30	0	25
NC_029256.1	171555	171763	2	2	1	16	0	66
NC_029256.1	171876	172397	2	2	1	11	0	50
NC_029256.1	172922	173003	2	2	1	20	0	75
NC_029256.1	186772	189606	2	2	1	31	0	63
NC_029256.1	227635	227741	1	1	1	52	0	66
NC_029256.1	227865	228556	1	1	1	64	0	52
NC_029256.1	228786	228929	1	1	1	266	0	70
NC_029256.1	249469	249860	2	2	1	8	0	52
NC_029256.1	249957	250616	2	2	1	8	0	11
NC_029256.1	249960	250616	2	2	1	12	0	73
NC_029256.1	271334	274528	2	2	1	21	66	60
NC_029256.1	310071	310255	2	2	1	63	0	64
NC_029256.1	310368	310454	2	2	1	33	0	68
NC_029256.1	310553	310631	2	2	1	22	0	3
NC_029256.1	320237	321467	1	1	1	44	0	48
NC_029256.1	321649	321927	1	1	1	213	0	62
NC_029256.1	322974	323053	2	2	1	26	0	47
NC_029256.1	327501	327617	2	2	1	54	0	62
NC_029256.1	372071	372167	1	1	1	176	0	51
NC_029256.1	372219	372323	1	1	1	250	0	52
NC_029256.1	372384	373957	1	1	1	259	0	60
NC_029256.1	374030	374114	1	1	1	489	0	73
NC_029256.1	428913	429585	1	1	1	8	0	57
